Bac_tip	Host_tip
G0032	G0032
G0046	G0046
G0065	G0065
G0075	G0075
G0078	G0078
G0174	G0174
G0218	G0218
G0315	G0315
G0317	G0317
G0321	G0321
G0333	G0333
G0349	G0349
G0354	G0354
G0361	G0361
G0363	G0363
G0370	G0370
G0380	G0380
G0385	G0385
G0391	G0391
G0393	G0393
G0411	G0411
G0416	G0416
